sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw
AutoTrigger1,0.0542541111157848,1,autotrigger,paw_flow,AutoTrigger,,,5.304916515960812
AutoTrigger1,0.1851851851851851,1,autotrigger,paw_flow,AutoTrigger,,1.0962962962962592,
AutoTrigger1,0.2949909576481477,1,autotrigger,paw_flow,AutoTrigger,,,6.521217983765837
AutoTrigger1,0.3148148148148149,1,autotrigger,paw_flow,AutoTrigger,,-9.547325102880734,
AutoTrigger1,0.5,1,autotrigger,paw_flow,AutoTrigger,,25.68559670781889,
AutoTrigger1,0.5184421920343194,1,autotrigger,paw_flow,AutoTrigger,,,3.656474744500997
AutoTrigger1,0.5185185185185182,1,autotrigger,paw_flow,AutoTrigger,,2.222222222222172,
AutoTrigger1,0.5185185185185182,1,autotrigger,paw_flow,AutoTrigger,,41.68888888888887,
AutoTrigger1,0.5541489674895916,1,autotrigger,paw_flow,AutoTrigger,,,8.145056146696405
AutoTrigger1,0.5894772258905672,1,autotrigger,paw_flow,AutoTrigger,,,13.858140219539898
AutoTrigger1,0.6434789923034874,1,autotrigger,paw_flow,AutoTrigger,,,19.162425873743544
AutoTrigger1,0.7349539470917281,1,autotrigger,paw_flow,AutoTrigger,,,23.240947133784765
AutoTrigger1,0.9197964419396903,1,autotrigger,paw_flow,AutoTrigger,,,25.27547630062667
AutoTrigger1,0.9444444444444442,1,autotrigger,paw_flow,AutoTrigger,,27.89794238683129,
AutoTrigger1,1.0873533246414606,1,autotrigger,paw_flow,AutoTrigger,,,23.22896076039872
AutoTrigger1,1.217815536022207,1,autotrigger,paw_flow,AutoTrigger,,,21.183706943685088
AutoTrigger1,1.3298565840938723,1,autotrigger,paw_flow,AutoTrigger,,,18.730916431845912
AutoTrigger1,1.407407407407407,1,autotrigger,paw_flow,AutoTrigger,,13.046913580246894,
AutoTrigger1,1.4236026412078906,1,autotrigger,paw_flow,AutoTrigger,,,15.462421667998498
AutoTrigger1,1.5173486983219084,1,autotrigger,paw_flow,AutoTrigger,,,12.193926904151084
AutoTrigger1,1.574074074074074,1,autotrigger,paw_flow,AutoTrigger,,6.676543209876513,
AutoTrigger1,1.6296296296296298,1,autotrigger,paw_flow,AutoTrigger,,0.2864197530863066,
AutoTrigger1,1.648189426756951,1,autotrigger,paw_flow,AutoTrigger,,,8.924170416789337
AutoTrigger1,1.7420616562224005,1,autotrigger,paw_flow,AutoTrigger,,,5.247508096059235
AutoTrigger1,1.7962962962962958,1,autotrigger,paw_flow,AutoTrigger,,4.582716049382668,
AutoTrigger1,1.817008032973042,1,autotrigger,paw_flow,AutoTrigger,,,2.7959793077343704
AutoTrigger1,1.8333333333333328,1,autotrigger,paw_flow,AutoTrigger,,20.58930041152257,
AutoTrigger1,1.851851851851852,1,autotrigger,paw_flow,AutoTrigger,,39.79259259259254,
AutoTrigger1,1.8544812213483624,1,autotrigger,paw_flow,AutoTrigger,,,1.5702149135719452
AutoTrigger1,1.9087353324641465,1,autotrigger,paw_flow,AutoTrigger,,,6.058165454010194
AutoTrigger1,1.9258947722589064,1,autotrigger,paw_flow,AutoTrigger,,,10.547377717962746
AutoTrigger1,1.9613492030113144,1,autotrigger,paw_flow,AutoTrigger,,,15.852294233923544
AutoTrigger1,2.0333936156790178,1,autotrigger,paw_flow,AutoTrigger,,,22.78861925390084
AutoTrigger1,2.1055642006981548,1,autotrigger,paw_flow,AutoTrigger,,,29.316776716995427
AutoTrigger1,2.178239475123019,1,autotrigger,paw_flow,AutoTrigger,,,34.2122639525592
AutoTrigger1,2.2697144299112586,1,autotrigger,paw_flow,AutoTrigger,,,38.29078521260042
AutoTrigger1,2.3333333333333326,1,autotrigger,paw_flow,AutoTrigger,,26.01152263374479,
AutoTrigger1,2.3797367203600133,1,autotrigger,paw_flow,AutoTrigger,,,42.36867561088447
AutoTrigger1,2.508811035875006,1,autotrigger,paw_flow,AutoTrigger,,,44.81326491988057
AutoTrigger1,2.592592592592592,1,autotrigger,paw_flow,AutoTrigger,,17.524279835390928,
AutoTrigger1,2.6565588594019443,1,autotrigger,paw_flow,AutoTrigger,,,46.84905581023679
AutoTrigger1,2.767590528662154,1,autotrigger,paw_flow,AutoTrigger,,,47.661605753459234
AutoTrigger1,2.8595701728561225,1,autotrigger,paw_flow,AutoTrigger,,,50.107456785969646
AutoTrigger1,2.907407407407407,1,autotrigger,paw_flow,AutoTrigger,,-20.81975308641984,
AutoTrigger1,2.925925925925926,1,autotrigger,paw_flow,AutoTrigger,,5.850205761316829,
