sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw
Early cycling1,0.0240027294073573,1,Early cycling,paw_flow,Early cycling1,,3.802773559535197,
Early cycling1,0.0494504391803751,1,Early cycling,paw_flow,Early cycling1,,10.015520159483032,
Early cycling1,0.0525911708253359,1,Early cycling,paw_flow,Early cycling1,,,5.4999999999999964
Early cycling1,0.0639805195239592,1,Early cycling,paw_flow,Early cycling1,,18.294722476803397,
Early cycling1,0.0952015355086371,1,Early cycling,paw_flow,Early cycling1,,,7.0
Early cycling1,0.1027541593358442,1,Early cycling,paw_flow,Early cycling1,,29.3381187158406,
Early cycling1,0.1165706973768393,1,Early cycling,paw_flow,Early cycling1,,,8.833333333333332
Early cycling1,0.1503518873960333,1,Early cycling,paw_flow,Early cycling1,,,10.833333333333332
Early cycling1,0.2203595057631971,1,Early cycling,paw_flow,Early cycling1,,32.81343028973195,
Early cycling1,0.2372360844529751,1,Early cycling,paw_flow,Early cycling1,,,11.999999999999998
Early cycling1,0.3426743442098527,1,Early cycling,paw_flow,Early cycling1,,,12.33333333333333
Early cycling1,0.4167965588060183,1,Early cycling,paw_flow,Early cycling1,,28.72065719847742,
Early cycling1,0.4569417786308382,1,Early cycling,paw_flow,Early cycling1,,,12.166666666666664
Early cycling1,0.6721567000929873,1,Early cycling,paw_flow,Early cycling1,,26.71039516199167,
Early cycling1,0.7918106206014075,1,Early cycling,paw_flow,Early cycling1,,,12.33333333333333
Early cycling1,0.93771198062656,1,Early cycling,paw_flow,Early cycling1,,20.56454580119479,
Early cycling1,1.0894433781190018,1,Early cycling,paw_flow,Early cycling1,,,11.999999999999998
Early cycling1,1.263153669648054,1,Early cycling,paw_flow,Early cycling1,,19.260049637751457,
Early cycling1,1.355214331413947,1,Early cycling,paw_flow,Early cycling1,,,12.166666666666664
Early cycling1,1.4831117919763457,1,Early cycling,paw_flow,Early cycling1,,15.862338861275203,
Early cycling1,1.6289187460012793,1,Early cycling,paw_flow,Early cycling1,,,11.666666666666664
Early cycling1,1.760788852244068,1,Early cycling,paw_flow,Early cycling1,,11.098586461336737,
Early cycling1,1.8027735595351984,1,Early cycling,paw_flow,Early cycling1,,-1.9952101576767944,
Early cycling1,1.8462032471919887,1,Early cycling,paw_flow,Early cycling1,,-10.950743562813145,
Early cycling1,1.871657069737684,1,Early cycling,paw_flow,Early cycling1,,,11.83333333333333
Early cycling1,1.8847088931541909,1,Early cycling,paw_flow,Early cycling1,,,7.833333333333332
Early cycling1,1.985884682539152,1,Early cycling,paw_flow,Early cycling1,,-10.918632888020696,
Early cycling1,2.029046705054383,1,Early cycling,paw_flow,Early cycling1,,,6.833333333333329
Early cycling1,2.102767538783675,1,Early cycling,paw_flow,Early cycling1,,-9.512452921067949,
Early cycling1,2.1530390275111966,1,Early cycling,paw_flow,Early cycling1,,,6.333333333333329
Early cycling1,2.206083634928387,1,Early cycling,paw_flow,Early cycling1,,-13.62663312885077,
Early cycling1,2.2744793722363084,1,Early cycling,paw_flow,Early cycling1,,-17.748841005331712,
Early cycling1,2.2966090850927703,1,Early cycling,paw_flow,Early cycling1,,,7.333333333333332
Early cycling1,2.4015573677274347,1,Early cycling,paw_flow,Early cycling1,,-20.47824836269008,
Early cycling1,2.50583678411592,1,Early cycling,paw_flow,Early cycling1,,-21.83358642788812,
Early cycling1,2.6809202384217614,1,Early cycling,paw_flow,Early cycling1,,-20.41402701310517,
Early cycling1,2.709404990403072,1,Early cycling,paw_flow,Early cycling1,,,7.0
Early cycling1,2.8683663025226958,1,Early cycling,paw_flow,Early cycling1,,-16.9226601018176,
Early cycling1,3.041586692258477,1,Early cycling,paw_flow,Early cycling1,,,6.666666666666668
Early cycling1,3.043449756828537,1,Early cycling,paw_flow,Early cycling1,,-15.503100687034646,
Early cycling1,3.195734632031737,1,Early cycling,paw_flow,Early cycling1,,-12.70947198009138,
Early cycling1,3.3410108765195137,1,Early cycling,paw_flow,Early cycling1,,,6.666666666666668
Early cycling1,3.3824582059498414,1,Early cycling,paw_flow,Early cycling1,,-11.287236675742392,
Early cycling1,3.534020590970212,1,Early cycling,paw_flow,Early cycling1,,-10.562739575737696,
Early cycling1,3.617402431222009,1,Early cycling,paw_flow,Early cycling1,,,6.666666666666668
Early cycling1,3.709104045276052,1,Early cycling,paw_flow,Early cycling1,,-9.143180160954756,
Early cycling1,3.927447216890595,1,Early cycling,paw_flow,Early cycling1,,,6.4999999999999964
Early cycling1,3.942628927704154,1,Early cycling,paw_flow,Early cycling1,,-7.020530762695415,
Early cycling1,4.105590602275846,1,Early cycling,paw_flow,Early cycling1,,-6.983068308770896,
Early cycling1,4.169289827255279,1,Early cycling,paw_flow,Early cycling1,,,6.4999999999999964
Early cycling1,4.258116307539989,1,Early cycling,paw_flow,Early cycling1,,-3.4997290661814446,
Early cycling1,4.349968010236724,1,Early cycling,paw_flow,Early cycling1,,,5.833333333333332
Early cycling1,4.400206043496585,1,Early cycling,paw_flow,Early cycling1,,3.429486965072954,
Early cycling1,4.438979683308471,1,Early cycling,paw_flow,Early cycling1,,14.472883204110168,
Early cycling1,4.453028103530169,1,Early cycling,paw_flow,Early cycling1,,21.37266445013814,
Early cycling1,4.461548304542547,1,Early cycling,paw_flow,Early cycling1,,,5.166666666666664
Early cycling1,4.490356762976393,1,Early cycling,paw_flow,Early cycling1,,28.277797475298183,
Early cycling1,4.518362124120282,1,Early cycling,paw_flow,Early cycling1,,,7.166666666666668
Early cycling1,4.553039027511196,1,Early cycling,paw_flow,Early cycling1,,,9.333333333333332
Early cycling1,4.59608115973054,1,Early cycling,paw_flow,Early cycling1,,31.060722623977316,
Early cycling1,4.646193218170185,1,Early cycling,paw_flow,Early cycling1,,,11.666666666666664
Early cycling1,4.76971963367072,1,Early cycling,paw_flow,Early cycling1,,28.34201882488309,
Early cycling1,4.885639169671467,1,Early cycling,paw_flow,Early cycling1,,26.989356649251093,
Early cycling1,4.886244401791426,1,Early cycling,paw_flow,Early cycling1,,,11.33333333333333
Early cycling1,5.220217530390275,1,Early cycling,paw_flow,Early cycling1,,,11.33333333333333
Early cycling1,5.281403236488432,1,Early cycling,paw_flow,Early cycling1,,27.08033689449637,
Early cycling1,5.408962892101444,1,Early cycling,paw_flow,Early cycling1,,25.730350608430392,
Early cycling1,5.565706973768394,1,Early cycling,paw_flow,Early cycling1,,,11.33333333333333
Early cycling1,5.583564686285397,1,Early cycling,paw_flow,Early cycling1,,25.770488951920957,
Early cycling1,5.815885418408783,1,Early cycling,paw_flow,Early cycling1,,24.44458567194932,
Early cycling1,5.913883557261677,1,Early cycling,paw_flow,Early cycling1,,,11.83333333333333
Early cycling1,5.976679622431984,1,Early cycling,paw_flow,Early cycling1,,18.274653305058106,
Early cycling1,6.149354776128391,1,Early cycling,paw_flow,Early cycling1,,12.797107363379112,
Early cycling1,6.177863083813179,1,Early cycling,paw_flow,Early cycling1,,,11.666666666666664
Early cycling1,6.229390633048576,1,Early cycling,paw_flow,Early cycling1,,8.677575376464219,
Early cycling1,6.259976050788385,1,Early cycling,paw_flow,Early cycling1,,-3.7291865964691615,
Early cycling1,6.268726209669328,1,Early cycling,paw_flow,Early cycling1,,-12.003037134657449,
Early cycling1,6.37364043506078,1,Early cycling,paw_flow,Early cycling1,,,11.666666666666664
Early cycling1,6.3893793985924505,1,Early cycling,paw_flow,Early cycling1,,,8.166666666666668
Early cycling1,6.546403269937052,1,Early cycling,paw_flow,Early cycling1,,-16.766789534595915,
Early cycling1,6.601023672424824,1,Early cycling,paw_flow,Early cycling1,,,6.833333333333329
Early cycling1,6.825043650448547,1,Early cycling,paw_flow,Early cycling1,,-18.771699791949587,
Early cycling1,6.911964171465132,1,Early cycling,paw_flow,Early cycling1,,,6.833333333333329
Early cycling1,7.080162961674574,1,Early cycling,paw_flow,Early cycling1,,-21.47167236408154,
Early cycling1,7.233525271912987,1,Early cycling,paw_flow,Early cycling1,,,6.666666666666668
Early cycling1,7.254523925797585,1,Early cycling,paw_flow,Early cycling1,,-22.12124455623716,
Early cycling1,7.395168681388521,1,Early cycling,paw_flow,Early cycling1,,-19.330291738859955,
Early cycling1,7.440818937939859,1,Early cycling,paw_flow,Early cycling1,,,6.666666666666668
Early cycling1,7.534127626552856,1,Early cycling,paw_flow,Early cycling1,,-21.36731267100608,
Early cycling1,7.696125980880771,1,Early cycling,paw_flow,Early cycling1,,-24.08869235966631,
Early cycling1,7.729622520793345,1,Early cycling,paw_flow,Early cycling1,,,6.833333333333329
Early cycling1,7.848651686144915,1,Early cycling,paw_flow,Early cycling1,,-20.605353117076877,
Early cycling1,7.921623194610762,1,Early cycling,paw_flow,Early cycling1,,-11.623060816280102,
