sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw
Trigger Asynchrony,0.0,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-16.149253731343265,9.184615384615398
Trigger Asynchrony,0.4276985743380868,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-11.850746268656737,9.184615384615398
Trigger Asynchrony,0.7637474541751539,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-9.701492537313412,9.184615384615398
Trigger Asynchrony,1.1608961303462315,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-7.552238805970148,9.184615384615398
Trigger Asynchrony,1.3747454175152756,1,Trigger Asynchrony,flow,Trigger Asynchrony,,7.4925373134328765,11.030769230769238
Trigger Asynchrony,1.4052953156822818,1,Trigger Asynchrony,flow,Trigger Asynchrony,,26.83582089552243,15.092307692307712
Trigger Asynchrony,1.5885947046843176,1,Trigger Asynchrony,flow,Trigger Asynchrony,,45.1044776119403,23.584615384615404
Trigger Asynchrony,1.7413441955193472,1,Trigger Asynchrony,flow,Trigger Asynchrony,,27.910447761194064,23.584615384615404
Trigger Asynchrony,2.230142566191448,1,Trigger Asynchrony,flow,Trigger Asynchrony,,22.537313432835845,23.95384615384617
Trigger Asynchrony,2.7494908350305503,1,Trigger Asynchrony,flow,Trigger Asynchrony,,18.238805970149254,9.184615384615398
Trigger Asynchrony,2.7494908350305503,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-3.2537313432835617,9.184615384615398
Trigger Asynchrony,2.7800407331975565,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-21.522388059701484,9.184615384615398
Trigger Asynchrony,3.3604887983706737,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-14.0,9.184615384615398
Trigger Asynchrony,4.0020366598778,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-8.62686567164178,9.184615384615398
Trigger Asynchrony,4.338085539714867,1,Trigger Asynchrony,flow,Trigger Asynchrony,,8.567164179104509,9.184615384615398
Trigger Asynchrony,4.582484725050917,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-7.552238805970148,9.184615384615398
Trigger Asynchrony,5.162932790224031,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-4.328358208955251,9.184615384615398
Trigger Asynchrony,6.109979633401221,1,Trigger Asynchrony,flow,Trigger Asynchrony,,-0.0298507462686643,9.184615384615398
Trigger Asynchrony,6.873727087576374,1,Trigger Asynchrony,flow,Trigger Asynchrony,,1.044776119402968,9.184615384615398
Trigger Asynchrony,6.995926680244399,1,Trigger Asynchrony,flow,Trigger Asynchrony,,15.01492537313436,14.353846153846176
Trigger Asynchrony,7.026476578411407,1,Trigger Asynchrony,flow,Trigger Asynchrony,,28.985074626865696,14.353846153846176
Trigger Asynchrony,7.118126272912423,1,Trigger Asynchrony,flow,Trigger Asynchrony,,48.32835820895525,19.15384615384616
Trigger Asynchrony,7.240325865580448,1,Trigger Asynchrony,flow,Trigger Asynchrony,,63.37313432835828,23.95384615384617
Trigger Asynchrony,7.362525458248473,1,Trigger Asynchrony,flow,Trigger Asynchrony,,48.32835820895525,23.95384615384617
Trigger Asynchrony,7.4236252545824835,1,Trigger Asynchrony,flow,Trigger Asynchrony,,31.13432835820896,23.95384615384617
Trigger Asynchrony,7.912423625254582,1,Trigger Asynchrony,flow,Trigger Asynchrony,,24.68656716417911,23.95384615384617
