time,paw,flow,vol,pmus
0,9.07522228028262,0.0458186322644789,0,0
0.01,8.9570150797713,0.00243085021096113,-2.4327749212832e-06,-0.00039426
0.02,8.87543434210275,-0.00708087072351875,-1.2111953151282e-05,-0.00157084
0.03,8.82918087111038,-0.00279931523703808,-2.71442390921154e-05,-0.00351118
0.04,8.77079937880753,-0.0129698162315688,-4.34759370168765e-05,-0.00618467
0.05,8.76987207993083,-0.00614446013202161,-5.82678705862352e-05,-0.00954915
0.06,8.7209109756272,-0.00666392311420534,-6.85311923619454e-05,-0.01355157
0.07,8.75906624325472,-0.00305794366415687,-7.31091298687831e-05,-0.0181288
0.08,8.74786273071215,-0.00774086757889904,-7.14765855812631e-05,-0.02320866
0.09,8.79360499667799,0.000372203890130676,-6.35564109866438e-05,-0.02871104
0.1,8.77990134393147,-0.0151671168438249,-4.96925277492894e-05,-0.03454915
0.11,8.82948868742108,-0.014986056410698,-3.06963644255349e-05,-0.04063093
0.12,8.81966167281802,-0.0145973562110184,-8.14400463452804e-06,-0.04686047
0.13,8.81691740015825,-0.0162468817081351,1.68017778629972e-05,-0.05313953
0.14,8.74985678035184,-0.0197025156530813,4.29473502878635e-05,-0.05936907
0.15,8.73520044098663,-0.0167405789726898,6.97274929695366e-05,-0.06545085
0.16,8.75508053886052,-0.0217972434378165,9.65263482034741e-05,-0.07128896
0.17,8.74947133740039,-0.0111360005161949,0.000122911959045154,-0.07679134
0.18,8.69610676823773,-0.00797237836048802,0.000148550766062976,-0.0818712
0.19,8.64612187792891,-0.00431293491811979,0.000173140454091185,-0.08644843
0.2,8.64102806256705,-0.00162608170649969,0.000196460579262634,-0.09045085
0.21,8.67411418483174,0.00432186820027956,0.000218282643120324,-0.09381533
0.22,8.7041484753172,0.00323238624171621,0.000238413118387393,-0.09648882
0.23,8.66895116849577,0.00597250748442161,0.000256584515623103,-0.09842916
0.24,8.61905280513327,0.00479873481295624,0.000272941979576421,-0.09960574
0.25,8.59482759277683,0.00540563763785763,0.000287059161756474,-0.09994161
0.26,8.65968958669307,-0.0026179425887655,0.000299431531552977,-0.1
0.27,8.66361057309171,-0.00134546623772864,0.000310640210998531,-0.09994161
0.28,8.67505838059132,-0.00444467619032629,0.000321176968558279,-0.09976658
0.29,8.6430357641455,0.00106248292070411,0.000331243876754592,-0.09947532
0.3,8.63029741413181,-0.00718740562480875,0.00034092256566771,-0.09906851
0.31,8.64793189766794,-0.00394092274452996,0.000350245924276237,-0.09854709
0.32,8.66429677822167,-0.00683139932961421,0.000359248732481205,-0.09791229
0.33,8.64731089137099,-0.0072604075444523,0.0003679119570789,-0.09716559
0.34,8.66826985754615,-0.0106922901476252,0.000376248316687702,-0.09630873
0.35,8.58241865536247,-0.0132720413583881,0.000384261140043668,-0.09534372
0.36,8.61838991992151,-0.00940886845773011,0.000391975895652717,-0.0942728
0.37,8.65385725394042,-0.00413489357447377,0.000399369769423788,-0.09309848
0.38,8.66207754183907,-0.00479191090390775,0.000406456611118915,-0.09182351
0.39,8.65782114228223,-0.00910977471594441,0.000413241691680446,-0.09045085
0.4,8.61964281649148,-0.00863145577475037,0.000419754362804519,-0.08898372
0.41,8.58744244437811,-0.0020248358821703,0.000425972630316096,-0.08742554
0.42,8.66927605466328,0.00351218702760561,0.000431913558821247,-0.08577995
0.43,8.61729139097069,-0.00306744017286023,0.000437585002142873,-0.08405079
0.44,8.58717623662578,-0.00291255746770708,0.000443020173394757,-0.08224211
0.45,8.58705011815547,-0.0088611517325295,0.000448197903504183,-0.08035813
0.46,8.614517173532,0.00604740548961864,0.000453138167195425,-0.07840324
0.47,8.67602965796114,0.007726778175027,0.000457851070123138,-0.07638201
0.48,8.66221339226065,-0.00227135299577628,0.000462372555910838,-0.07429917
0.49,8.63426242103823,-0.00386880908577601,0.00046668269355257,-0.07215958
0.5,8.70245960947629,-0.00812155681828433,0.000470803494761344,-0.06996823
0.51,8.70628299059615,-0.00513386237597166,0.000474746601962829,-0.06773024
0.52,8.74603769673836,-0.000556325554353125,0.000478548493396078,-0.06545085
0.53,8.73633967596789,-0.0096553284718539,0.000482190633160348,-0.06313537
0.54,8.75250641282551,-0.0113249730069582,0.000485694585121814,-0.06078921
0.55,8.77495245592543,-0.00473758393314869,0.000489070575951768,-0.05841785
0.56,8.81804282001757,-0.00987531085559236,0.000492349461324624,-0.05602683
0.57,8.78999377744412,-0.00842043273093286,0.000495509065455985,-0.05362174
0.58,8.82758953211505,-0.00195572076141597,0.00049855878798669,-0.05120819
0.59,8.8058154135933,-0.00973647588097162,0.000501490296444967,-0.04879181
0.6,8.82824101207026,-0.0150361184369544,0.000504313042768331,-0.04637826
0.61,8.80072457612564,-0.0140781614970141,0.000506935414448958,-0.04397317
0.62,8.81111348094604,-0.0171835476044694,0.000509323423189631,-0.04158215
0.63,8.79305450631453,-0.0171135587948446,0.000511380310602977,-0.03921079
0.64,8.80129602542771,-0.011607102881685,0.000512974977255067,-0.03686463
0.65,8.79244468637071,-0.0222977783679509,0.000513942551161449,-0.03454915
