sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw,source_file,X,Y_flow,Y_paw
Double Trigger,0.0040882616487456,1,Double Trigger,flow,Double Trigger,-2.205758799266321,0.4998831229546514,2.363602346234539,double_trigger_img1.csv,,,
Double Trigger,0.0192126864020533,1,Double Trigger,flow,Double Trigger,-2.205758799266321,0.6518817204301075,2.3634379503133074,double_trigger_img1.csv,,,
Double Trigger,0.0192126864020533,1,Double Trigger,flow,Double Trigger,-2.205758799266321,0.6518817204301075,2.411488529576145,double_trigger_img1.csv,,,
Double Trigger,0.0278552148325148,1,Double Trigger,flow,Double Trigger,-2.1665151443551776,0.6518817204301075,2.4856545751832035,double_trigger_img1.csv,,,
Double Trigger,0.0343371111553609,1,Double Trigger,flow,Double Trigger,-2.118581990750362,0.7822580645161294,2.5991582162278246,double_trigger_img1.csv,,,
Double Trigger,0.0494615359086686,1,Double Trigger,flow,Double Trigger,-2.057567618841832,0.8473001402524547,2.603362054785033,double_trigger_img1.csv,,,
Double Trigger,0.0667465927695917,1,Double Trigger,flow,Double Trigger,-1.9965767320649064,0.8687470780738664,2.659961221951914,double_trigger_img1.csv,,,
Double Trigger,0.0905135459533609,1,Double Trigger,flow,Double Trigger,-1.8439938320303733,0.9119915848527348,2.712121699245542,double_trigger_img1.csv,,,
Double Trigger,0.1402080844285147,1,Double Trigger,flow,Double Trigger,-1.6347413094341436,0.9334385226741468,2.7814732928736747,double_trigger_img1.csv,,,
Double Trigger,0.1769388302579762,1,Double Trigger,flow,Double Trigger,-1.3775086629698907,0.943840579710145,2.824756390420796,double_trigger_img1.csv,,,
Double Trigger,0.209348311872207,1,Double Trigger,flow,Double Trigger,-1.1856351377610026,0.9649953249181862,2.8593499892742464,double_trigger_img1.csv,,,
Double Trigger,0.2395971613788223,1,Double Trigger,flow,Double Trigger,-1.01557929981271,0.9646446937821408,2.8852306043024223,double_trigger_img1.csv,,,
Double Trigger,0.2676853787778221,1,Double Trigger,flow,Double Trigger,-0.841131742254372,0.9646446937821408,2.9067664699837623,double_trigger_img1.csv,,,
Double Trigger,0.300094860392053,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.9967858812529218,2.9064141930096947,double_trigger_img1.csv,,,
Double Trigger,0.3108980209301299,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.931451612903226,2.827668546739756,double_trigger_img1.csv,,,
Double Trigger,0.3173799172529761,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.7791608228143994,2.709655760427068,double_trigger_img1.csv,,,
Double Trigger,0.3217011814682067,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.7791608228143994,2.5916664592459844,double_trigger_img1.csv,,,
Double Trigger,0.3303437098986683,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.6703482935951377,2.477998422280132,double_trigger_img1.csv,,,
Double Trigger,0.3519500309748222,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.4092449742870498,2.438449460658128,double_trigger_img1.csv,,,
Double Trigger,0.3562712951900528,1,Double Trigger,flow,Double Trigger,-0.6885253570882335,0.4092449742870498,2.43840249039492,double_trigger_img1.csv,,,
Double Trigger,0.4016445694499759,1,Double Trigger,flow,Double Trigger,-0.7953122504939638,0.4085437120149602,2.376754019933068,double_trigger_img1.csv,,,
Double Trigger,0.4426965794946682,1,Double Trigger,flow,Double Trigger,-0.7953122504939638,0.4517297802711546,2.3500983955619428,double_trigger_img1.csv,,,
Double Trigger,0.4902304858622066,1,Double Trigger,flow,Double Trigger,-2.2064868383460614,0.7201832919453914,2.314635846839125,double_trigger_img1.csv,,,
Double Trigger,0.4945517500774374,1,Double Trigger,flow,Double Trigger,-2.171634903044962,0.7201832919453914,2.419426504058471,double_trigger_img1.csv,,,
Double Trigger,0.5010336464002836,1,Double Trigger,flow,Double Trigger,-2.171634903044962,0.8162609653394619,2.5285619106246524,double_trigger_img1.csv,,,
Double Trigger,0.509676174830745,1,Double Trigger,flow,Double Trigger,-2.1193335149617067,0.8466037553724957,2.572150314882633,double_trigger_img1.csv,,,
Double Trigger,0.5420856564449759,1,Double Trigger,flow,Double Trigger,-1.923185695800797,0.8900042785776394,2.6547944929989207,double_trigger_img1.csv,,,
Double Trigger,0.6155471481038988,1,Double Trigger,flow,Double Trigger,-1.5700397718637045,0.9066082666220314,2.7894112673560008,double_trigger_img1.csv,,,
Double Trigger,0.6544385260409755,1,Double Trigger,flow,Double Trigger,-1.3608107343990803,0.9016998741166876,2.9112991003834336,double_trigger_img1.csv,,,
Double Trigger,0.6911692718704372,1,Double Trigger,flow,Double Trigger,-1.1210510258485864,0.9232122546664234,3.007001011671832,double_trigger_img1.csv,,,
Double Trigger,0.7430244424532062,1,Double Trigger,flow,Double Trigger,-0.8463454414705747,0.9403094304745104,3.08943382360368,double_trigger_img1.csv,,,
Double Trigger,0.7732732919598215,1,Double Trigger,flow,Double Trigger,-0.6981777461776884,0.9225311858498926,3.1415238455024945,double_trigger_img1.csv,,,
Double Trigger,0.7819158203902832,1,Double Trigger,flow,Double Trigger,-0.6981777461776884,0.8568432727520641,3.027855808536642,double_trigger_img1.csv,,,
Double Trigger,0.7948796130359754,1,Double Trigger,flow,Double Trigger,-0.6458998432260388,0.6208411852582927,2.831144346217224,double_trigger_img1.csv,,,
Double Trigger,0.7970402451435907,1,Double Trigger,flow,Double Trigger,-0.6329360505803465,0.4242236634652929,2.6563914819480274,double_trigger_img1.csv,,,
Double Trigger,0.8294497267578216,1,Double Trigger,flow,Double Trigger,-0.7555754078191241,0.043788016603754,2.5643062809267243,double_trigger_img1.csv,,,
Double Trigger,0.87698363312536,1,Double Trigger,flow,Double Trigger,-0.9963684621602158,-0.0265499525517682,2.45895198054887,double_trigger_img1.csv,,,
